week_number,sales_depot_id,sales_channel_id,route_id,client_id,product_id,town,state,client_type,client_name,short_name,brand,weight,pieces,sales_unit_this_week,sales_this_week,returns_unit_next_week,returns_next_week,Real - Procura,Pred - Procura,Pred - Probabilidade de Procura,Pred - Procura - Descrição
6,1123,1,1405,201313,1278,2094 CHALCO_BM,ESTADO DE MÉXICO,Individual,SARAHI,Nito ,BIM,62.0,1.0,30,135.0,0,0.0,1.0,1,0.9777925,Procura Alta
5,1615,1,1119,4423935,1278,2358 MARTINEZ DE LA TORRE,VERACRUZ,NO IDENTIFICADO,NO IDENTIFICADO,Nito ,BIM,62.0,1.0,30,135.0,0,0.0,1.0,1,0.9769404,Procura Alta
4,2275,4,6617,140866,1242,2392 MERIDA NORTE,YUCATÁN,Oxxo Store,OXXO FUENTE MAYA,Donitas Espolvoreadas ,BIM,105.0,6.0,2,15.4,0,0.0,0.0,1,0.7921872,Procura Alta
4,2263,1,2104,1860330,3894,2263 LIBERTAD,JALISCO,Small Franchise,SOL DE TERRANOVA,Sponch ,MLA,120.0,8.0,8,80.0,0,0.0,1.0,1,0.65277565,Procura Alta
5,1121,1,1435,164612,1278,2016 AG. SAN LORENZO,"MÉXICO, D.F.",Supermarket,MINI SUPER EXPRESS,Nito ,BIM,62.0,1.0,26,117.0,0,0.0,1.0,1,0.9785282,Procura Alta
3,2653,1,1136,212882,2425,2190 BI_SAN FRANCISCO DEL RINCON,GUANAJUATO,Individual,RODRIGUEZ,Nito ,BIM,62.0,1.0,26,117.0,0,0.0,1.0,1,0.96926737,Procura Alta
5,2015,1,1104,135767,1064,2154 ATLACOMULCO,ESTADO DE MÉXICO,Individual,PEREZ,Panque Marmol ,BIM,255.0,unknown,3,50.01,0,0.0,0.0,0,0.0638484,Procura Baixa
4,2653,1,1126,4296599,48417,2190 BI_SAN FRANCISCO DEL RINCON,GUANAJUATO,NO IDENTIFICADO,NO IDENTIFICADO,Bran Frut Fresa ,BIM,48.0,unknown,3,13.74,0,0.0,0.0,1,0.576253,Procura Alta
5,1420,1,2139,1983573,30532,2478 SAN NICOLAS,NUEVO LEÓN,General Market/Mart,ABARROTES EDUARDO,Principe ,MLA,106.0,10.0,4,31.12,0,0.0,1.0,1,0.94759065,Procura Alta
4,1911,1,1154,2018634,1232,2309 NORTE,JALISCO,General Market/Mart,ABARROTES SOLEDAD,Panque Nuez ,BIM,255.0,unknown,3,54.72,0,0.0,0.0,1,0.8162195,Procura Alta
6,1120,1,1456,173754,972,2018 AG. TEPALCATES 2,"MÉXICO, D.F.",Small Franchise,LA NUEVA,Roles Canela ,BIM,365.0,6.0,5,94.9,0,0.0,1.0,0,0.35742182,Procura Baixa
6,1442,4,4704,2249328,36275,2465 LAREDO,TAMAULIPAS,Small Franchise,F  GDL S777 JUAREZ,Twinkies Vainilla ,MLA,76.0,2.0,5,24.5,0,0.0,1.0,1,0.9159077,Procura Alta
5,3214,1,1602,564349,3609,2017 AG. SANTA CLARA,ESTADO DE MÉXICO,Individual,RICHARD,Mantecadas Chocolate ,TR,47.5,3.0,8,71.84,0,0.0,1.0,1,0.7909238,Procura Alta
5,1336,1,1059,553477,1169,2269 PUERTO VALLARTA BIMBO,JALISCO,Small Franchise,JUAN CARLOS PALOMERA FLORES,Bimbollos Extra ,BIM,480.0,6.0,1,18.86,0,0.0,0.0,1,0.637407,Procura Alta
4,4041,1,2101,1246410,31507,2368 TAMPICO BIMBO,TAMAULIPAS,Supermarket,SUPER EXPRESS,Polvoron ,MLA,113.0,6.0,7,43.75,0,0.0,1.0,1,0.87301505,Procura Alta
4,1126,1,1436,1753790,1284,2017 AG. SANTA CLARA,ESTADO DE MÉXICO,Small Franchise,SAN JUDITAS,Rebanada ,BIM,55.0,2.0,4,12.08,0,0.0,1.0,1,0.9895381,Procura Alta
5,3214,1,4447,596169,43084,2017 AG. SANTA CLARA,ESTADO DE MÉXICO,Individual,ALBORADA,Submarinos Chocolate ,MLA,105.0,3.0,1,8.15,0,0.0,0.0,0,0.39563414,Procura Baixa
4,1441,1,1038,231321,34213,2477 SALTILLO BIMBO,COAHUILA,Individual,ISA,Pan Blanco ,BIM,640.0,unknown,5,99.7,0,0.0,1.0,0,0.32531205,Procura Baixa
6,1232,1,1107,2169803,41938,2059 Queretaro Balvanera,Queretaro de Arteaga,General Market/Mart,ABARROTES CHENDO,Mantecadas Nuez ,BIM,123.0,unknown,7,69.37,0,0.0,1.0,1,0.7531933,Procura Alta
5,1541,1,1651,160754,32860,2570 SANTA ANA,SONORA,Supermarket,SUPER M C 1,Chocochispas ,LAR,80.0,unknown,4,21.84,0,0.0,1.0,1,0.6684166,Procura Alta
5,1441,1,1132,231153,43200,2477 SALTILLO BIMBO,COAHUILA,Individual,MACIAS,Panque Nuez ,BIM,255.0,unknown,4,72.96,0,0.0,1.0,0,0.27114627,Procura Baixa
5,1635,1,1221,4341267,42110,2416 PACHUCA II,HIDALGO,NO IDENTIFICADO,NO IDENTIFICADO,Tortillinas ,TR,255.0,10.0,3,28.8,0,0.0,0.0,1,0.70627403,Procura Alta
4,1533,1,2052,161952,37058,2558 GUAYMAS,SONORA,Supermarket,MINI SUPER ANDY,Choco Roles ,MLA,80.0,2.0,4,30.0,0,0.0,1.0,1,0.84128785,Procura Alta
5,2055,1,1054,4344195,46772,2055 Pinotepa,PUEBLA,NO IDENTIFICADO,NO IDENTIFICADO,Pan Molido ,BIM,210.0,unknown,2,17.84,0,0.0,0.0,1,0.7802982,Procura Alta
5,4046,1,2032,117095,43147,2485 CHIHUAHUA MARINELA,CHIHUAHUA,Individual,OROZCO,Dalmata ,MLA,55.0,1.0,20,90.8,0,0.0,1.0,1,0.6082456,Procura Alta
4,1348,1,1151,397613,1212,2256 CD. MANTE,MICHOACÁN,Individual,CHIQUIS,Roles Canela ,BIM,120.0,2.0,2,16.76,0,0.0,0.0,0,0.4595579,Procura Baixa
4,1340,1,1162,1646160,1242,2275 TEPIC BIMBO,NAYARIT,Individual,PIEDAD ESTRADA RODRIGUEZ,Donitas Espolvoreadas ,BIM,105.0,6.0,5,38.2,0,0.0,1.0,1,0.7260066,Procura Alta
3,3214,1,2159,432458,36745,2017 AG. SANTA CLARA,ESTADO DE MÉXICO,Small Franchise,EL SAUZ,Canelitas Tubo ,MLA,207.0,unknown,3,34.59,0,0.0,0.0,0,0.18515304,Procura Baixa
4,1332,1,2061,2277140,43065,2255 CD GUZMAN,JALISCO,Individual,ALICIA GARCIA LOPEZ,Rollo Fresa ,MLA,75.0,2.0,3,20.28,0,0.0,0.0,0,0.123922065,Procura Baixa
6,1330,1,1154,198714,42434,2253 ATOTONILCO,JALISCO,Individual,ALEJANDRO TAVAREZ LOPEZ,Barra Multigrano Nuez ,BIM,34.0,unknown,15,68.7,0,0.0,1.0,1,0.6284174,Procura Alta
5,1476,4,4704,2463966,31310,2516 ESCOBEDO,NUEVO LEÓN,Small Franchise,F GDL S867 SENDERO DIVISORIO,Canelitas ,MLA,90.0,unknown,12,62.4,0,0.0,1.0,1,0.8750247,Procura Alta
3,2034,1,1046,249162,1182,2167 MORELIA LA HUERTA,MICHOACÁN,Small Franchise,EL OLIVAR,Tostado ,BIM,210.0,unknown,2,27.88,0,0.0,0.0,1,0.8334948,Procura Alta
4,3217,1,2113,1977610,31580,2032 AG. SANTA LUCIA,"MÉXICO, D.F.",General Market/Mart,ABARROTES LOS LIMONES,Suavicremas Chocolate ,MLA,237.0,unknown,2,23.06,0,0.0,0.0,0,0.25507942,Procura Baixa
5,1544,1,1018,526116,1109,2561 LOS MOCHIS,SINALOA,Individual,VEGA,Pan Blanco Chico ,BIM,360.0,unknown,3,45.03,0,0.0,0.0,1,0.59406257,Procura Alta
3,2043,1,1154,241215,972,2156 CELAYA INDUSTRIAL WONDER,GUANAJUATO,General Market/Mart,AUTO TIENDAS COMERCIALES S A  DE C V,Roles Canela ,BIM,365.0,6.0,1,18.98,0,0.0,0.0,0,0.09843887,Procura Baixa
